Variant,Case Count,Case Percent,Activity Count,Activity Percent
Place Order|Receive Order|Process Order|Receive Invoice|Review Invoice|Create Payment|Sign In (Payroll Account)|Fill in Settlement Info|Authorize Payment|Update Customer Balance|Verify Successful Payment,1445,0.290160643,15895,0.283697437
Place Order|Receive Order|Process Order|Receive Hard Copy|Review Invoice|Create Payment|Sign In (Payroll Account)|Fill in Settlement Info|Authorize Payment|Update Customer Balance|Verify Successful Payment,617,0.123895582,6787,0.121135861
Place Order|Receive Order|Process Order|Receive Invoice|Review Invoice|Create Payment|Identify or Verify Credit Card Info|Abstract Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,616,0.123694779,6776,0.12093953
Place Order|Receive Order|Process Order|Receive Invoice|Review Invoice|Create Payment|Manage Payment|Default Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,374,0.075100402,4114,0.073427572
Place Order|Receive Order|Process Order|Call Centers|Review Order Info|Capture Customer Info|Receive Invoice|Review Invoice|Create Payment|Sign In (Payroll Account)|Fill in Settlement Info|Authorize Payment|Update Customer Balance|Verify Successful Payment,279,0.056024096,3906,0.069715142
Place Order (Credit Card)|Receive Order (Credit Card)|Request Payment by Credit Card (Direct)|Receive E-Invoice|Authorize Payment|Verify Successful Payment,454,0.091164659,2724,0.048618548
Place Order|Receive Order|Process Order|Receive Hard Copy|Review Invoice|Create Payment|Identify or Verify Credit Card Info|Abstract Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,246,0.04939759,2706,0.04829728
Place Order|Receive Order|Process Order|Receive Invoice|Review Invoice|Make Billing Inquiry|Manage Account|Update Profile|Create Payment|Sign In (Payroll Account)|Fill in Settlement Info|Authorize Payment|Update Customer Balance|Verify Successful Payment,155,0.031124498,2170,0.038730635
Place Order|Receive Order|Process Order|Receive Hard Copy|Review Invoice|Create Payment|Manage Payment|Default Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,127,0.025502008,1397,0.024933962
Place Order|Receive Order|Process Order|Call Centers|Review Order Info|Capture Customer Info|Receive Invoice|Review Invoice|Create Payment|Identify or Verify Credit Card Info|Abstract Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,99,0.019879518,1386,0.024737631
Place Order|Receive Order|Process Order|Call Centers|Review Order Info|Capture Customer Info|Receive Hard Copy|Review Invoice|Create Payment|Sign In (Payroll Account)|Fill in Settlement Info|Authorize Payment|Update Customer Balance|Verify Successful Payment,92,0.018473896,1288,0.022988506
Place Order|Receive Order|Process Order|Receive Hard Copy|Review Invoice|Make Billing Inquiry|Manage Account|Update Profile|Create Payment|Sign In (Payroll Account)|Fill in Settlement Info|Authorize Payment|Update Customer Balance|Verify Successful Payment,89,0.017871486,1246,0.022238881
Place Order|Receive Order|Process Order|Call Centers|Review Order Info|Capture Customer Info|Receive Invoice|Review Invoice|Create Payment|Manage Payment|Default Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,61,0.012248996,854,0.015242379
Place Order|Receive Order|Process Order|Receive Invoice|Review Invoice|Make Billing Inquiry|Manage Account|Update Profile|Create Payment|Identify or Verify Credit Card Info|Abstract Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,57,0.011445783,798,0.014242879
Place Order|Receive Order|Process Order|Call Centers|Review Order Info|Capture Customer Info|Receive Hard Copy|Review Invoice|Create Payment|Identify or Verify Credit Card Info|Abstract Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,46,0.009236948,644,0.011494253
Place Order|Receive Order|Process Order|Receive Invoice|Review Invoice|Make Billing Inquiry|Manage Account|Update Profile|Create Payment|Manage Payment|Default Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,36,0.007228916,504,0.008995502
Place Order|Receive Order|Process Order|Call Centers|Review Order Info|Capture Customer Info|Receive Invoice|Review Invoice|Make Billing Inquiry|Manage Account|Update Profile|Create Payment|Sign In (Payroll Account)|Fill in Settlement Info|Authorize Payment|Update Customer Balance|Verify Successful Payment,26,0.005220884,442,0.007888913
Place Order|Receive Order|Process Order|Call Centers|Review Order Info|Capture Customer Info|Receive Hard Copy|Review Invoice|Create Payment|Manage Payment|Default Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,27,0.005421687,378,0.006746627
Place Order|Receive Order|Process Order|Receive Hard Copy|Review Invoice|Make Billing Inquiry|Manage Account|Update Profile|Create Payment|Identify or Verify Credit Card Info|Abstract Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,24,0.004819277,336,0.005997001
Place Order|Receive Order|Process Order|Receive Hard Copy|Review Invoice|Make Billing Inquiry|Manage Account|Update Profile|Create Payment|Manage Payment|Default Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,19,0.003815261,266,0.004747626
Place Order|Receive Order|Process Order|Receive Invoice|Review Invoice|Create Payment|Pay Cash|Authorize Payment|Update Customer Balance|Verify Successful Payment,25,0.00502008,250,0.004462055
Place Order|Receive Order|Process Order|Call Centers|Review Order Info|Capture Customer Info|Receive Hard Copy|Review Invoice|Make Billing Inquiry|Manage Account|Update Profile|Create Payment|Sign In (Payroll Account)|Fill in Settlement Info|Authorize Payment|Update Customer Balance|Verify Successful Payment,12,0.002409639,204,0.003641037
Place Order|Receive Order|Process Order|Call Centers|Review Order Info|Capture Customer Info|Receive Invoice|Review Invoice|Make Billing Inquiry|Manage Account|Update Profile|Create Payment|Identify or Verify Credit Card Info|Abstract Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,12,0.002409639,204,0.003641037
Place Order|Receive Order|Process Order|Receive Hard Copy|Review Invoice|Create Payment|Pay Cash|Authorize Payment|Update Customer Balance|Verify Successful Payment,7,0.001405622,70,0.001249375
Place Order|Receive Order|Process Order|Call Centers|Review Order Info|Capture Customer Info|Receive Invoice|Review Invoice|Make Billing Inquiry|Manage Account|Update Profile|Create Payment|Manage Payment|Default Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,4,0.000803213,68,0.001213679
Place Order|Receive Order|Process Order|Call Centers|Review Order Info|Capture Customer Info|Receive Hard Copy|Review Invoice|Make Billing Inquiry|Manage Account|Update Profile|Create Payment|Identify or Verify Credit Card Info|Abstract Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,4,0.000803213,68,0.001213679
Place Order|Receive Order|Process Order|Receive Invoice|Review Invoice|Create Payment|Sign In (Payroll Account)|Fill in Settlement Info|Authorize Payment|Update Customer Balance|Verify Successful Payment|Place Order|Receive Order|Process Order|Receive Invoice|Review Invoice|Create Payment|Manage Payment|Default Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,2,0.000401606,44,0.000785322
Place Order|Receive Order|Process Order|Receive Invoice|Review Invoice|Create Payment|Sign In (Payroll Account)|Fill in Settlement Info|Authorize Payment|Update Customer Balance|Verify Successful Payment|Place Order|Receive Order|Process Order|Receive Hard Copy|Review Invoice|Create Payment|Sign In (Payroll Account)|Fill in Settlement Info|Authorize Payment|Update Customer Balance|Verify Successful Payment,2,0.000401606,44,0.000785322
Place Order|Receive Order|Process Order|Receive Hard Copy|Review Invoice|Make Billing Inquiry|Manage Account|Update Profile|Create Payment|Pay Cash|Authorize Payment|Update Customer Balance|Verify Successful Payment,3,0.00060241,39,0.000696081
Place Order|Receive Order|Process Order|Receive Invoice|Review Invoice|Make Billing Inquiry|Manage Account|Update Profile|Create Payment|Pay Cash|Authorize Payment|Update Customer Balance|Verify Successful Payment,3,0.00060241,39,0.000696081
Place Order (Credit Card)|Receive Order (Credit Card)|Request Payment by Credit Card (Direct)|Receive E-Invoice|Authorize Payment|Verify Successful Payment|Place Order|Receive Order|Process Order|Receive Invoice|Review Invoice|Create Payment|Identify or Verify Credit Card Info|Abstract Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,2,0.000401606,34,0.000606839
Place Order|Receive Order|Process Order|Call Centers|Review Order Info|Capture Customer Info|Receive Invoice|Review Invoice|Make Billing Inquiry|Manage Account|Update Profile|Create Payment|Sign In (Payroll Account)|Fill in Settlement Info|Authorize Payment|Update Customer Balance|Verify Successful Payment|Place Order|Receive Order|Process Order|Receive Hard Copy|Review Invoice|Create Payment|Sign In (Payroll Account)|Fill in Settlement Info|Authorize Payment|Update Customer Balance|Verify Successful Payment,1,0.000200803,28,0.00049975
Place Order|Receive Order|Process Order|Call Centers|Review Order Info|Capture Customer Info|Receive Invoice|Review Invoice|Create Payment|Sign In (Payroll Account)|Fill in Settlement Info|Authorize Payment|Update Customer Balance|Verify Successful Payment|Place Order|Receive Order|Process Order|Receive Invoice|Review Invoice|Create Payment|Identify or Verify Credit Card Info|Abstract Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,1,0.000200803,25,0.000446205
Place Order|Receive Order|Process Order|Receive Invoice|Review Invoice|Create Payment|Identify or Verify Credit Card Info|Abstract Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment|Place Order|Receive Order|Process Order|Call Centers|Review Order Info|Capture Customer Info|Receive Invoice|Review Invoice|Create Payment|Identify or Verify Credit Card Info|Abstract Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,1,0.000200803,25,0.000446205
Place Order|Receive Order|Process Order|Receive Invoice|Review Invoice|Create Payment|Manage Payment|Default Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment|Place Order|Receive Order|Process Order|Call Centers|Review Order Info|Capture Customer Info|Receive Invoice|Review Invoice|Create Payment|Sign In (Payroll Account)|Fill in Settlement Info|Authorize Payment|Update Customer Balance|Verify Successful Payment,1,0.000200803,25,0.000446205
Place Order|Receive Order|Process Order|Call Centers|Review Order Info|Capture Customer Info|Receive Invoice|Review Invoice|Create Payment|Sign In (Payroll Account)|Fill in Settlement Info|Authorize Payment|Update Customer Balance|Verify Successful Payment|Place Order|Receive Order|Process Order|Receive Invoice|Review Invoice|Create Payment|Sign In (Payroll Account)|Fill in Settlement Info|Authorize Payment|Update Customer Balance|Verify Successful Payment,1,0.000200803,25,0.000446205
Place Order|Receive Order|Process Order|Receive Hard Copy|Review Invoice|Create Payment|Identify or Verify Credit Card Info|Abstract Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment|Place Order|Receive Order|Process Order|Receive Hard Copy|Review Invoice|Make Billing Inquiry|Manage Account|Update Profile|Create Payment|Identify or Verify Credit Card Info|Abstract Payment Method|Authorize Payment|Update Customer Balance|Verify Successful Payment,1,0.000200803,25,0.000446205
