CaseId,ActivityName,ActivityTime,VendorID
AP388389,Invoice Received,2024-01-01T00:54:49.608355,V350
AP388389,Invoice Scanned,2024-01-01T01:40:51.784455,V350
AP388389,Invoice Validation,2024-01-01T02:38:52.215067,V350
AP388389,Three-Way Match,2024-01-01T04:30:00.953647,V350
AP388389,Quantity Variance Check,2024-01-01T06:21:23.217519,V350
AP388389,Tax Calculation,2024-01-01T07:43:55.998434,V350
AP388389,Approval Requested,2024-01-01T08:27:23.015386,V350
AP388389,Manager Approval,2024-01-02T06:00:28.492623,V350
AP388389,Finance Approval,2024-01-02T15:24:39.362239,V350
AP388389,Vendor Master Data Review,2024-01-02T17:16:43.775525,V350
AP388389,Payment Terms Verification,2024-01-02T19:08:35.833159,V350
AP388389,GL Account Assignment,2024-01-02T20:58:12.282372,V350
AP388389,Cost Center Assignment,2024-01-02T22:26:52.393254,V350
AP388389,Payment Block Release,2024-01-02T22:50:00.060296,V350
AP388389,Payment Scheduled,2024-01-03T01:41:16.716443,V350
AP388389,Payment Executed,2024-01-03T17:29:52.816243,V350
AP388389,Payment Confirmed,2024-01-03T18:14:10.927506,V350
AP388389,Invoice Posted,2024-01-03T19:46:21.649738,V350
AP388389,Document Archived,2024-01-03T20:27:44.060947,V350
AP684004,Invoice Received,2024-01-01T21:59:42.419566,V324
AP684004,Invoice Scanned,2024-01-01T22:26:51.617187,V324
AP684004,Invoice Validation,2024-01-02T00:33:09.905860,V324
AP684004,Approval Requested,2024-01-02T01:39:41.682878,V324
AP684004,Manager Approval,2024-01-02T18:08:00.999897,V324
AP684004,Vendor Master Data Review,2024-01-02T19:11:52.906929,V324
AP684004,Payment Terms Verification,2024-01-02T20:25:05.485447,V324
AP684004,GL Account Assignment,2024-01-02T21:42:22.025396,V324
AP684004,Cost Center Assignment,2024-01-02T23:06:06.818120,V324
AP684004,Payment Block Release,2024-01-02T23:33:46.091810,V324
AP684004,Payment Scheduled,2024-01-03T04:30:05.962386,V324
AP684004,Payment Executed,2024-01-04T12:26:49.218597,V324
AP684004,Payment Confirmed,2024-01-04T14:20:57.617691,V324
AP684004,Invoice Posted,2024-01-04T16:23:19.844761,V324
AP684004,Document Archived,2024-01-04T17:12:12.696006,V324
AP854639,Invoice Received,2024-01-02T19:52:30.534937,V369
AP854639,Invoice Scanned,2024-01-02T20:11:12.670464,V369
AP854639,Invoice Validation,2024-01-02T22:11:02.655219,V369
AP854639,Three-Way Match,2024-01-03T00:59:51.594593,V369
AP854639,Tax Calculation,2024-01-03T02:45:16.259703,V369
AP854639,Approval Requested,2024-01-03T03:02:18.805199,V369
AP854639,Manager Approval,2024-01-03T18:57:37.056857,V369
AP854639,Finance Approval,2024-01-04T16:38:07.281928,V369
AP854639,Vendor Master Data Review,2024-01-04T18:29:01.139213,V369
AP854639,Payment Terms Verification,2024-01-04T19:08:34.909463,V369
AP854639,GL Account Assignment,2024-01-04T19:49:24.242572,V369
AP854639,Cost Center Assignment,2024-01-04T21:52:33.075581,V369
AP854639,Payment Block Release,2024-01-04T22:37:31.242613,V369
AP854639,Payment Scheduled,2024-01-05T03:46:39.613551,V369
AP854639,Payment Executed,2024-01-05T14:19:18.918419,V369
AP854639,Payment Confirmed,2024-01-05T14:48:38.290953,V369
AP854639,Invoice Posted,2024-01-05T15:18:30.824771,V369
AP854639,Document Archived,2024-01-05T15:31:42.086768,V369
AP608993,Invoice Received,2024-01-03T12:49:18.435562,V319
AP608993,Invoice Scanned,2024-01-03T13:26:01.751002,V319
AP608993,Invoice Validation,2024-01-03T15:17:40.450038,V319
AP608993,Three-Way Match,2024-01-03T18:35:24.891168,V319
AP608993,Tax Calculation,2024-01-03T19:12:25.859321,V319
AP608993,Approval Requested,2024-01-03T19:31:46.609680,V319
AP608993,Manager Approval,2024-01-03T23:23:24.891392,V319
AP608993,Vendor Master Data Review,2024-01-04T00:00:38.149334,V319
AP608993,Payment Terms Verification,2024-01-04T01:30:52.599511,V319
AP608993,GL Account Assignment,2024-01-04T03:00:41.893091,V319
AP608993,Cost Center Assignment,2024-01-04T04:04:05.090946,V319
AP608993,Payment Block Release,2024-01-04T04:47:50.266676,V319
AP608993,Payment Scheduled,2024-01-04T10:23:54.359557,V319
AP608993,Payment Executed,2024-01-04T16:14:20.092561,V319
AP608993,Payment Confirmed,2024-01-04T18:20:39.206700,V319
AP608993,Invoice Posted,2024-01-04T20:01:53.591627,V319
AP608993,Document Archived,2024-01-04T20:46:26.318322,V319
AP871476,Invoice Received,2024-01-03T22:53:35.582728,V655
AP871476,Invoice Scanned,2024-01-03T23:27:38.993967,V655
AP871476,Invoice Validation,2024-01-04T00:24:00.990858,V655
AP871476,Approval Requested,2024-01-04T00:35:58.991898,V655
AP871476,Manager Approval,2024-01-04T10:50:38.628468,V655
AP871476,Vendor Master Data Review,2024-01-04T11:44:14.020380,V655
AP871476,Payment Terms Verification,2024-01-04T12:57:25.537085,V655
AP871476,GL Account Assignment,2024-01-04T13:43:06.286106,V655
AP871476,Cost Center Assignment,2024-01-04T14:19:51.706511,V655
AP871476,Payment Block Release,2024-01-04T14:53:12.349140,V655
AP871476,Payment Scheduled,2024-01-04T16:36:40.272415,V655
AP871476,Payment Executed,2024-01-04T21:28:59.305095,V655
AP871476,Payment Confirmed,2024-01-04T22:00:29.986962,V655
AP871476,Invoice Posted,2024-01-04T22:38:30.686510,V655
AP871476,Document Archived,2024-01-04T23:07:34.475578,V655
AP800305,Invoice Received,2024-01-05T23:35:36.124824,V936
AP800305,Invoice Scanned,2024-01-06T00:34:51.455311,V936
AP800305,Invoice Validation,2024-01-06T03:55:11.715998,V936
AP800305,Three-Way Match,2024-01-06T07:06:59.644491,V936
AP800305,Quantity Variance Check,2024-01-06T10:22:14.102169,V936
AP800305,Tax Calculation,2024-01-06T12:12:13.466875,V936
AP800305,Approval Requested,2024-01-06T13:03:33.568604,V936
