CaseId,ActivityName,ActivityTime,VendorID
AP770487,Invoice Received,2025-04-25T15:51:38.995195+00:00,V214
AP809570,Invoice Received,2025-04-16T11:37:42.422569+00:00,V858
AP343962,Invoice Received,2025-04-17T10:22:46.217424+00:00,V617
AP539898,Invoice Received,2025-04-25T15:55:18.545499+00:00,V325
AP267414,Invoice Received,2025-04-25T13:51:18.519711+00:00,V814
AP207175,Invoice Received,2025-04-23T05:51:15.106361+00:00,V194
AP145561,Invoice Received,2025-04-30T02:50:56.488043+00:00,V847
AP407419,Invoice Received,2025-04-07T23:29:28.701700+00:00,V949
AP172933,Invoice Received,2025-04-11T07:53:33.756480+00:00,V146
AP172933,Invoice Scanned,2025-04-11T11:23:10.759765+00:00,V146
AP498591,Invoice Received,2025-04-09T10:31:42.356633+00:00,V384
AP498591,Invoice Scanned,2025-04-09T12:16:18.767456+00:00,V384
AP835911,Invoice Received,2025-04-15T23:08:37.699168+00:00,V799
AP835911,Invoice Scanned,2025-04-16T02:11:44.696822+00:00,V799
AP497887,Invoice Received,2025-04-17T13:15:32.861560+00:00,V376
AP497887,Invoice Scanned,2025-04-17T16:42:32.795754+00:00,V376
AP340174,Invoice Received,2025-04-21T23:31:15.486063+00:00,V941
AP340174,Invoice Scanned,2025-04-22T03:13:01.001228+00:00,V941
AP852787,Invoice Received,2025-04-19T06:07:53.163955+00:00,V422
AP852787,Invoice Scanned,2025-04-19T08:52:53.097520+00:00,V422
AP246413,Invoice Received,2025-04-18T01:59:10.877037+00:00,V352
AP246413,Invoice Scanned,2025-04-18T03:59:09.143261+00:00,V352
AP479580,Invoice Received,2025-04-19T09:39:29.579286+00:00,V324
AP479580,Invoice Scanned,2025-04-19T13:10:19.475948+00:00,V324
AP267753,Invoice Received,2025-04-16T08:44:45.600725+00:00,V911
AP267753,Invoice Scanned,2025-04-16T11:19:53.794922+00:00,V911
AP363626,Invoice Received,2025-04-12T19:15:48.960061+00:00,V666
AP363626,Invoice Scanned,2025-04-12T21:38:34.786224+00:00,V666
AP772097,Invoice Received,2025-04-21T01:29:29.106623+00:00,V448
AP772097,Invoice Scanned,2025-04-21T05:19:47.187310+00:00,V448
AP376183,Invoice Received,2025-04-07T06:21:28.219718+00:00,V612
AP376183,Invoice Scanned,2025-04-07T07:54:08.624090+00:00,V612
AP738551,Invoice Received,2025-04-11T13:40:49.115112+00:00,V303
AP738551,Invoice Scanned,2025-04-11T16:54:19.808743+00:00,V303
AP738551,Invoice Validation,2025-04-11T19:15:42.265013+00:00,V303
AP439902,Invoice Received,2025-04-06T18:55:22.402748+00:00,V600
AP439902,Invoice Scanned,2025-04-06T22:20:01.388418+00:00,V600
AP439902,Invoice Validation,2025-04-06T23:54:36.066398+00:00,V600
AP694916,Invoice Received,2025-04-19T12:29:34.372847+00:00,V180
AP694916,Invoice Scanned,2025-04-19T15:39:17.960129+00:00,V180
AP694916,Invoice Validation,2025-04-19T18:50:07.473938+00:00,V180
AP598369,Invoice Received,2025-04-18T09:21:43.641605+00:00,V662
AP598369,Invoice Scanned,2025-04-18T13:14:14.614221+00:00,V662
AP598369,Invoice Validation,2025-04-18T16:59:18.924233+00:00,V662
AP823378,Invoice Received,2025-04-22T03:09:08.148817+00:00,V305
AP823378,Invoice Scanned,2025-04-22T04:57:33.247149+00:00,V305
AP823378,Invoice Validation,2025-04-22T08:36:28.384616+00:00,V305
AP359947,Invoice Received,2025-05-03T01:47:55.969309+00:00,V330
AP359947,Invoice Scanned,2025-05-03T04:21:30.314751+00:00,V330
AP359947,Invoice Validation,2025-05-03T04:53:00.919322+00:00,V330
AP161733,Invoice Received,2025-04-08T16:26:30.343733+00:00,V334
AP161733,Invoice Scanned,2025-04-08T17:46:29.202126+00:00,V334
AP161733,Invoice Validation,2025-04-08T20:36:58.322133+00:00,V334
AP161733,Three-Way Match,2025-04-08T21:51:57.705906+00:00,V334
AP161733,Price Variance Check,2025-04-08T22:49:44.835200+00:00,V334
AP161733,Tax Calculation,2025-04-09T02:36:12.314631+00:00,V334
AP595631,Invoice Received,2025-04-28T02:18:50.246834+00:00,V348
AP595631,Invoice Scanned,2025-04-28T04:19:21.491732+00:00,V348
AP595631,Invoice Validation,2025-04-28T06:18:18.582382+00:00,V348
AP595631,Three-Way Match,2025-04-28T08:26:23.093199+00:00,V348
AP595631,Price Variance Check,2025-04-28T11:29:29.448902+00:00,V348
AP595631,Tax Calculation,2025-04-28T14:20:53.842198+00:00,V348
AP203198,Invoice Received,2025-04-23T21:21:40.465880+00:00,V162
AP203198,Invoice Scanned,2025-04-23T22:43:53.535687+00:00,V162
AP203198,Invoice Validation,2025-04-23T23:53:50.167933+00:00,V162
AP203198,Three-Way Match,2025-04-24T01:58:02.698636+00:00,V162
AP203198,Price Variance Check,2025-04-24T03:56:38.407298+00:00,V162
AP203198,Tax Calculation,2025-04-24T05:25:08.076121+00:00,V162
AP179046,Invoice Received,2025-05-02T06:47:16.840644+00:00,V553
AP179046,Invoice Scanned,2025-05-02T10:12:50.788216+00:00,V553
AP179046,Invoice Validation,2025-05-02T14:06:20.141058+00:00,V553
AP179046,Three-Way Match,2025-05-02T17:50:52.365044+00:00,V553
AP179046,Price Variance Check,2025-05-02T21:19:05.931298+00:00,V553
AP179046,Tax Calculation,2025-05-02T22:24:01.451292+00:00,V553
AP324130,Invoice Received,2025-04-28T19:55:12.386383+00:00,V985
AP324130,Invoice Scanned,2025-04-28T21:47:11.700529+00:00,V985
AP324130,Invoice Validation,2025-04-29T01:31:45.828256+00:00,V985
AP324130,Three-Way Match,2025-04-29T04:46:38.458152+00:00,V985
AP324130,Price Variance Check,2025-04-29T06:16:32.598437+00:00,V985
AP324130,Tax Calculation,2025-04-29T09:12:49.651382+00:00,V985
AP921414,Invoice Received,2025-04-19T12:26:28.824087+00:00,V669
AP921414,Invoice Scanned,2025-04-19T13:42:11.855407+00:00,V669
AP921414,Invoice Validation,2025-04-19T14:24:28.744886+00:00,V669
AP921414,Three-Way Match,2025-04-19T17:28:59.033339+00:00,V669
AP921414,Price Variance Check,2025-04-19T18:11:47.098740+00:00,V669
AP921414,Tax Calculation,2025-04-19T19:47:38.519343+00:00,V669
AP599948,Invoice Received,2025-05-02T00:41:21.164094+00:00,V614
AP599948,Invoice Scanned,2025-05-02T04:10:08.080165+00:00,V614
AP599948,Invoice Validation,2025-05-02T04:54:31.448957+00:00,V614
AP599948,Three-Way Match,2025-05-02T05:38:47.755836+00:00,V614
AP599948,Price Variance Check,2025-05-02T09:09:46.677781+00:00,V614
AP599948,Tax Calculation,2025-05-02T11:04:34.249728+00:00,V614
AP697347,Invoice Received,2025-05-02T11:07:36.281878+00:00,V352
AP697347,Invoice Scanned,2025-05-02T13:55:39.183750+00:00,V352
AP697347,Invoice Validation,2025-05-02T16:24:21.042990+00:00,V352
AP697347,Three-Way Match,2025-05-02T18:00:47.303049+00:00,V352
AP697347,Price Variance Check,2025-05-02T19:25:32.950814+00:00,V352
AP697347,Tax Calculation,2025-05-02T22:16:11.498096+00:00,V352
AP378517,Invoice Received,2025-04-14T22:49:54.253102+00:00,V505
AP378517,Invoice Scanned,2025-04-15T02:34:59.884081+00:00,V505
AP378517,Invoice Validation,2025-04-15T06:21:30.136103+00:00,V505
AP378517,Three-Way Match,2025-04-15T06:53:27.510860+00:00,V505
AP378517,Price Variance Check,2025-04-15T09:33:54.117479+00:00,V505
AP378517,Tax Calculation,2025-04-15T12:02:07.837414+00:00,V505
AP663750,Invoice Received,2025-04-29T19:31:54.328611+00:00,V318
AP663750,Invoice Scanned,2025-04-29T20:16:21.099168+00:00,V318
AP663750,Invoice Validation,2025-04-29T21:37:39.082816+00:00,V318
AP663750,Three-Way Match,2025-04-29T23:07:29.923945+00:00,V318
